"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3992","GET /products returns list of products with 200","Default Suite","Sat Aug 09 00:53:30 EEST 2025","failed","Sat Aug 09 00:53:34 EEST 2025","PlatziFakeStore.tests.products.ProductsTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.products.ProductsTests","testGetAllProductsReturnsList"
"","554","testDeleteProduct_ValidId","Default Suite","Sun Aug 10 00:38:05 EEST 2025","passed","Sun Aug 10 00:38:05 EEST 2025","PlatziFakeStore.tests.products.ProductsTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.products.ProductsTests","testDeleteProduct_ValidId"
"","953","testProductsContainMandatoryFields","Default Suite","Sun Aug 10 00:38:10 EEST 2025","passed","Sun Aug 10 00:38:11 EEST 2025","PlatziFakeStore.tests.products.ProductsTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.products.ProductsTests","testProductsContainMandatoryFields"
"","3596","testUpdateCategoryById_Success","Default Suite","Sun Aug 10 22:28:04 EEST 2025","passed","Sun Aug 10 22:28:08 EEST 2025","PlatziFakeStore.tests.categories.CategoriesTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.categories.CategoriesTests","testUpdateCategoryById_Success"
"","4538","Verify that GET /categories returns a non-empty list with required fields","Surefire suite","Sat Aug 09 00:48:47 EEST 2025","passed","Sat Aug 09 00:48:51 EEST 2025","PlatziFakeStore.tests.categories.CategoriesTests","Surefire test","PlatziFakeStore.tests.categories.CategoriesTests","testGetAllCategories"
"","526","testInvalidEndpoint","Default Suite","Sun Aug 10 00:38:16 EEST 2025","passed","Sun Aug 10 00:38:17 EEST 2025","PlatziFakeStore.tests.categories.CategoriesTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.categories.CategoriesTests","testInvalidEndpoint"
"","551","testAllUsersHaveValidRoles","Default Suite","Sun Aug 10 00:38:19 EEST 2025","passed","Sun Aug 10 00:38:20 EEST 2025","PlatziFakeStore.tests.users.UsersTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.users.UsersTests","testAllUsersHaveValidRoles"
"","792","atestGetAllUsersSuccess","Default Suite","Sun Aug 10 00:34:47 EEST 2025","broken","Sun Aug 10 00:34:48 EEST 2025","PlatziFakeStore.tests.users.UsersTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.users.UsersTests","atestGetAllUsersSuccess"
"","536","testGetProductByNegativeId","Default Suite","Sun Aug 10 00:38:09 EEST 2025","passed","Sun Aug 10 00:38:09 EEST 2025","PlatziFakeStore.tests.products.ProductsTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.products.ProductsTests","testGetProductByNegativeId"
"","548","testGetCategoryByValidSlug","Default Suite","Sun Aug 10 00:38:16 EEST 2025","passed","Sun Aug 10 00:38:16 EEST 2025","PlatziFakeStore.tests.categories.CategoriesTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.categories.CategoriesTests","testGetCategoryByValidSlug"
"","602","testGetProductByInvalidId","Default Suite","Sun Aug 10 00:38:08 EEST 2025","passed","Sun Aug 10 00:38:09 EEST 2025","PlatziFakeStore.tests.products.ProductsTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.products.ProductsTests","testGetProductByInvalidId"
"","535","testGetAllUsersSuccess","Default Suite","Sun Aug 10 00:38:23 EEST 2025","passed","Sun Aug 10 00:38:24 EEST 2025","PlatziFakeStore.tests.users.UsersTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.users.UsersTests","testGetAllUsersSuccess"
"","816","atestCreateUserSuccess","Default Suite","Sun Aug 10 00:38:18 EEST 2025","passed","Sun Aug 10 00:38:18 EEST 2025","PlatziFakeStore.tests.users.UsersTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.users.UsersTests","atestCreateUserSuccess"
"","29","testPostMethodNotAllowed","Default Suite","Sun Aug 10 00:38:17 EEST 2025","passed","Sun Aug 10 00:38:17 EEST 2025","PlatziFakeStore.tests.categories.CategoriesTests","REST-Assured-Platzi-Fake-Store-API-ITI","PlatziFakeStore.tests.categories.CategoriesTests","testPostMethodNotAllowed"
